onset	duration	sample	trial_type	response_time	value	runlist	trial
18	0	2	Cue_SmallPun	0.196	1	1	1
20	0	4	Anticipation_SmallPun	0.196	1	1	1
24	0	8	Probe_SmallPun	0.196	1	1	1
24	0	8	Feedback_SmallPun	0.196	1	1	1
26	0	10	Cue_Triangle	0.209	1	1	2
28	0	12	Anticipation_Triangle	0.209	1	1	2
31	0	15	Probe_Triangle	0.209	1	1	2
31	0	15	Feedback_Triangle	0.209	1	1	2
33	0	17	Cue_SmallPun	0.212	1	1	3
35	0	19	Anticipation_SmallPun	0.212	1	1	3
37	0	21	Probe_SmallPun	0.212	1	1	3
37	0	21	Feedback_SmallPun	0.212	1	1	3
39	0	23	Cue_SmallReward	0	0	1	4
41	0	25	Anticipation_SmallReward	0	0	1	4
42	0	26	Probe_SmallReward	0	0	1	4
43	0	27	Feedback_SmallReward	0	0	1	4
44	0	28	Cue_LgReward	0.224	1	1	5
46	0	30	Anticipation_LgReward	0.224	1	1	5
48	0	32	Probe_LgReward	0.224	1	1	5
48	0	32	Feedback_LgReward	0.224	1	1	5
50	0	34	Cue_SmallReward	0.224	1	1	6
52	0	36	Anticipation_SmallReward	0.224	1	1	6
53	0	37	Probe_SmallReward	0.224	1	1	6
54	0	38	Feedback_SmallReward	0.224	1	1	6
55	0	39	Cue_Triangle	0.224	1	1	7
57	0	41	Anticipation_Triangle	0.224	1	1	7
59	0	43	Probe_Triangle	0.224	1	1	7
59	0	43	Feedback_Triangle	0.224	1	1	7
61	0	45	Cue_LgPun	0.187	1	1	8
63	0	47	Anticipation_LgPun	0.187	1	1	8
65	0	49	Probe_LgPun	0.187	1	1	8
66	0	50	Feedback_LgPun	0.187	1	1	8
67	0	51	Cue_SmallReward	0.203	1	1	9
69	0	53	Anticipation_SmallReward	0.203	1	1	9
73	0	57	Probe_SmallReward	0.203	1	1	9
73	0	57	Feedback_SmallReward	0.203	1	1	9
75	0	59	Cue_SmallReward	0.21	1	1	10
77	0	61	Anticipation_SmallReward	0.21	1	1	10
79	0	63	Probe_SmallReward	0.21	1	1	10
79	0	63	Feedback_SmallReward	0.21	1	1	10
81	0	65	Cue_Triangle	0	0	1	11
83	0	67	Anticipation_Triangle	0	0	1	11
87	0	71	Probe_Triangle	0	0	1	11
87	0	71	Feedback_Triangle	0	0	1	11
89	0	73	Cue_SmallPun	0.224	1	1	12
91	0	75	Anticipation_SmallPun	0.224	1	1	12
92	0	76	Probe_SmallPun	0.224	1	1	12
92	0	76	Feedback_SmallPun	0.224	1	1	12
94	0	78	Cue_LgReward	0	0	1	13
96	0	80	Anticipation_LgReward	0	0	1	13
99	0	83	Probe_LgReward	0	0	1	13
99	0	83	Feedback_LgReward	0	0	1	13
101	0	85	Cue_SmallReward	0	0	1	14
103	0	87	Anticipation_SmallReward	0	0	1	14
106	0	90	Probe_SmallReward	0	0	1	14
106	0	90	Feedback_SmallReward	0	0	1	14
108	0	92	Cue_SmallPun	0	0	1	15
110	0	94	Anticipation_SmallPun	0	0	1	15
111	0	95	Probe_SmallPun	0	0	1	15
111	0	95	Feedback_SmallPun	0	0	1	15
113	0	97	Cue_Triangle	0	0	1	16
115	0	99	Anticipation_Triangle	0	0	1	16
118	0	102	Probe_Triangle	0	0	1	16
118	0	102	Feedback_Triangle	0	0	1	16
120	0	104	Cue_Triangle	0	0	1	17
122	0	106	Anticipation_Triangle	0	0	1	17
123	0	107	Probe_Triangle	0	0	1	17
123	0	107	Feedback_Triangle	0	0	1	17
125	0	109	Cue_SmallPun	0	0	1	18
127	0	111	Anticipation_SmallPun	0	0	1	18
131	0	115	Probe_SmallPun	0	0	1	18
131	0	115	Feedback_SmallPun	0	0	1	18
133	0	117	Cue_LgPun	0	0	1	19
135	0	119	Anticipation_LgPun	0	0	1	19
139	0	123	Probe_LgPun	0	0	1	19
139	0	123	Feedback_LgPun	0	0	1	19
141	0	125	Cue_LgReward	0	0	1	20
143	0	127	Anticipation_LgReward	0	0	1	20
147	0	131	Probe_LgReward	0	0	1	20
147	0	131	Feedback_LgReward	0	0	1	20
149	0	133	Cue_LgPun	0	0	1	21
151	0	135	Anticipation_LgPun	0	0	1	21
152	0	136	Probe_LgPun	0	0	1	21
152	0	136	Feedback_LgPun	0	0	1	21
154	0	138	Cue_SmallPun	0.234	1	1	22
156	0	140	Anticipation_SmallPun	0.234	1	1	22
158	0	142	Probe_SmallPun	0.234	1	1	22
158	0	142	Feedback_SmallPun	0.234	1	1	22
160	0	144	Cue_LgPun	0.234	1	1	23
162	0	146	Anticipation_LgPun	0.234	1	1	23
164	0	148	Probe_LgPun	0.234	1	1	23
164	0	148	Feedback_LgPun	0.234	1	1	23
166	0	150	Cue_SmallReward	0.291	1	1	24
168	0	152	Anticipation_SmallReward	0.291	1	1	24
170	0	154	Probe_SmallReward	0.291	1	1	24
171	0	155	Feedback_SmallReward	0.291	1	1	24
172	0	156	Cue_Triangle	0.274	1	1	25
174	0	158	Anticipation_Triangle	0.274	1	1	25
176	0	160	Probe_Triangle	0.274	1	1	25
177	0	161	Feedback_Triangle	0.274	1	1	25
178	0	162	Cue_LgPun	0.206	1	1	26
180	0	164	Anticipation_LgPun	0.206	1	1	26
182	0	166	Probe_LgPun	0.206	1	1	26
183	0	167	Feedback_LgPun	0.206	1	1	26
184	0	168	Cue_LgReward	0.232	1	1	27
186	0	170	Anticipation_LgReward	0.232	1	1	27
188	0	172	Probe_LgReward	0.232	1	1	27
188	0	172	Feedback_LgReward	0.232	1	1	27
190	0	174	Cue_LgPun	0.201	1	1	28
192	0	176	Anticipation_LgPun	0.201	1	1	28
196	0	180	Probe_LgPun	0.201	1	1	28
196	0	180	Feedback_LgPun	0.201	1	1	28
198	0	182	Cue_LgReward	0.203	1	1	29
200	0	184	Anticipation_LgReward	0.203	1	1	29
203	0	187	Probe_LgReward	0.203	1	1	29
203	0	187	Feedback_LgReward	0.203	1	1	29
205	0	189	Cue_LgReward	0	0	1	30
207	0	191	Anticipation_LgReward	0	0	1	30
209	0	193	Probe_LgReward	0	0	1	30
209	0	193	Feedback_LgReward	0	0	1	30
211	0	195	Cue_SmallPun	0.235	1	1	31
213	0	197	Anticipation_SmallPun	0.235	1	1	31
214	0	198	Probe_SmallPun	0.235	1	1	31
214	0	198	Feedback_SmallPun	0.235	1	1	31
216	0	200	Cue_SmallReward	0.219	1	1	32
218	0	202	Anticipation_SmallReward	0.219	1	1	32
220	0	204	Probe_SmallReward	0.219	1	1	32
220	0	204	Feedback_SmallReward	0.219	1	1	32
222	0	206	Cue_Triangle	0	0	1	33
224	0	208	Anticipation_Triangle	0	0	1	33
226	0	210	Probe_Triangle	0	0	1	33
226	0	210	Feedback_Triangle	0	0	1	33
228	0	212	Cue_LgPun	0.247	1	1	34
230	0	214	Anticipation_LgPun	0.247	1	1	34
231	0	215	Probe_LgPun	0.247	1	1	34
231	0	215	Feedback_LgPun	0.247	1	1	34
233	0	217	Cue_Triangle	0	0	1	35
235	0	219	Anticipation_Triangle	0	0	1	35
237	0	221	Probe_Triangle	0	0	1	35
237	0	221	Feedback_Triangle	0	0	1	35
239	0	223	Cue_LgReward	0.206	1	1	36
241	0	225	Anticipation_LgReward	0.206	1	1	36
244	0	228	Probe_LgReward	0.206	1	1	36
244	0	228	Feedback_LgReward	0.206	1	1	36
246	0	230	Cue_LgPun	0.199	1	1	37
248	0	232	Anticipation_LgPun	0.199	1	1	37
251	0	235	Probe_LgPun	0.199	1	1	37
251	0	235	Feedback_LgPun	0.199	1	1	37
253	0	237	Cue_SmallReward	0	0	1	38
255	0	239	Anticipation_SmallReward	0	0	1	38
259	0	243	Probe_SmallReward	0	0	1	38
259	0	243	Feedback_SmallReward	0	0	1	38
261	0	245	Cue_Triangle	0	0	1	39
263	0	247	Anticipation_Triangle	0	0	1	39
264	0	248	Probe_Triangle	0	0	1	39
264	0	248	Feedback_Triangle	0	0	1	39
266	0	250	Cue_SmallReward	0	0	1	40
268	0	252	Anticipation_SmallReward	0	0	1	40
270	0	254	Probe_SmallReward	0	0	1	40
270	0	254	Feedback_SmallReward	0	0	1	40
272	0	256	Cue_SmallPun	0	0	1	41
274	0	258	Anticipation_SmallPun	0	0	1	41
276	0	260	Probe_SmallPun	0	0	1	41
276	0	260	Feedback_SmallPun	0	0	1	41
278	0	262	Cue_Triangle	0	0	1	42
280	0	264	Anticipation_Triangle	0	0	1	42
283	0	267	Probe_Triangle	0	0	1	42
283	0	267	Feedback_Triangle	0	0	1	42
285	0	269	Cue_SmallPun	0	0	1	43
287	0	271	Anticipation_SmallPun	0	0	1	43
290	0	274	Probe_SmallPun	0	0	1	43
290	0	274	Feedback_SmallPun	0	0	1	43
292	0	276	Cue_LgReward	0.213	1	1	44
294	0	278	Anticipation_LgReward	0.213	1	1	44
296	0	280	Probe_LgReward	0.213	1	1	44
296	0	280	Feedback_LgReward	0.213	1	1	44
298	0	282	Cue_LgPun	0.213	1	1	45
300	0	284	Anticipation_LgPun	0.213	1	1	45
302	0	286	Probe_LgPun	0.213	1	1	45
302	0	286	Feedback_LgPun	0.213	1	1	45
304	0	288	Cue_SmallReward	0	0	1	46
306	0	290	Anticipation_SmallReward	0	0	1	46
307	0	291	Probe_SmallReward	0	0	1	46
307	0	291	Feedback_SmallReward	0	0	1	46
309	0	293	Cue_SmallPun	0.202	1	1	47
311	0	295	Anticipation_SmallPun	0.202	1	1	47
314	0	298	Probe_SmallPun	0.202	1	1	47
314	0	298	Feedback_SmallPun	0.202	1	1	47
316	0	300	Cue_LgPun	0.261	1	1	48
318	0	302	Anticipation_LgPun	0.261	1	1	48
320	0	304	Probe_LgPun	0.261	1	1	48
320	0	304	Feedback_LgPun	0.261	1	1	48
322	0	306	Cue_LgReward	0.2	1	1	49
324	0	308	Anticipation_LgReward	0.2	1	1	49
326	0	310	Probe_LgReward	0.2	1	1	49
326	0	310	Feedback_LgReward	0.2	1	1	49
328	0	312	Cue_LgReward	0	0	1	50
330	0	314	Anticipation_LgReward	0	0	1	50
331	0	315	Probe_LgReward	0	0	1	50
331	0	315	Feedback_LgReward	0	0	1	50
